id      |symbol  |title                                                                                               |publicationDate    |providerUrl                   |
--------|--------|----------------------------------------------------------------------------------------------------|-------------------|------------------------------|
17303303|ethusd  |Ethereum Risks Plunging Towards $350 Following Rejected Spikes  NewsBTC                             |2020-09-17 15:03:53|www.newsbtc.com               |
17303324|eurgbp  |GBPUSD trades above and below the 100 hour MA                                                       |2020-09-17 14:59:40|www.forexlive.com             |
17303311|us500#  |US weekly jobless claims decline to 860,000 amid signs of economic recovery                         |2020-09-17 14:38:56|www.businessinsider.com.au    |
17303328|btcusd  |Tevoro.com Announces New Book Revealing What's Missing from Bitcoin, Ethereum and Other Cryptocurren|2020-09-17 14:34:00|www.prnewswire.com            |
17303340|oil#    |Wyoming oil refineries stung by Trump administration's support of ethanol                           |2020-09-17 14:30:00|trib.com                      |
17303342|usdjpy  |The move lower in the USDJPY continues                                                              |2020-09-17 14:29:37|www.forexlive.com             |
17303313|ltcusd  |Litecoin price analysis: strong bearish bias below $46                                              |2020-09-17 14:28:42|capital.com                   |
17303356|oil#    |Crude oil industry is starting to hear echoes of coal's demise: Russell                             |2020-09-17 14:25:00|www.reuters.com               |
17303317|xrpusd  |Ripple Shows Bearish Signals at $0.24, a Decline to $0.21 Likely                                    |2020-09-17 14:25:00|coinidol.com                  |
17303288|btcusd  |Bitcoin Falls Back Below $11K as Markets Doubt Fed's Ability to Boost Inflation - CoinDesk          |2020-09-17 14:14:36|www.coindesk.com              |
17303300|iotausd |IOTA: Eclipse Foundation makes first commit for Tangle Marketplace                                  |2020-09-17 14:14:00|www.crypto-news-flash.com     |
17303315|jap225# |Coronavirus latest: Takeda's blood-plasma treatment set for trials                                  |2020-09-17 14:12:00|asia.nikkei.com               |
17303363|oil#    |Shark Liver Oil: Benefits, Uses, and Side Effects                                                   |2020-09-17 14:06:33|www.healthline.com            |
17303346|xrpusd  |Instant Payments Market Trends and Top Expert Analysis -SITRAF, PayPal, Danske Bank, Ripple, BlueCas|2020-09-17 14:02:16|themarketchronicles.com       |
17303175|xlnx.oq |5G Stocks To Buy And Watch: 5G Smartphone Prices Fall, Apple Still To Come                          |2020-09-17 14:00:55|finance.yahoo.com             |
17303209|xrpusd  |A second lockdown is an overeaction to what is a ripple, not a wave                                 |2020-09-17 13:40:00|www.telegraph.co.uk           |
17303239|iotausd |Entertainment : 20 His seventies collection full of impossible prints is the culprit                |2020-09-17 13:39:44|www.explica.co                |
17303205|iotausd |Max Rose will never defund the police (letter to the editor)                                        |2020-09-17 13:30:00|www.silive.com                |
17303190|xagusd  |Gold too Passive, Risks Deeper Correction                                                           |2020-09-17 13:27:16|www.fxempire.com              |
17303220|oil#    |JinkoSolar Supports Japan's Largest Oil Refiner to Build Gas Station PV Power Plant in Japan        |2020-09-17 13:17:00|www.prnewswire.com            |
17303177|btcusd  |Are Bitcoin campaign contributions a fad or the future of fundraising?                              |2020-09-17 13:13:51|www.palmbeachpost.com         |
17303250|eurusd  |EUR/USD Dropped Below 1.1800  Action Forex                                                          |2020-09-17 13:12:00|www.actionforex.com           |
17303314|us100#  |10 things you need to know before the opening bell                                                  |2020-09-17 13:09:26|www.businessinsider.com.au    |
17303258|usdjpy  |USD/JPY Declined To 104.80  Action Forex                                                            |2020-09-17 13:09:00|www.actionforex.com           |
17303071|xauusd  |XAU/USD Breached Rising Wedge Pattern  Action Forex                                                 |2020-09-17 13:08:00|www.actionforex.com           |
17303196|jap225# |Coronavirus latest: Trial of treatment by Takeda group to begin                                     |2020-09-17 13:05:00|asia.nikkei.com               |
17303306|btcusd  |Bitcoin, Tesla and avocados: millennial traders are saying 'OK boomer'                              |2020-09-17 13:03:00|cointelegraph.com             |
17303292|oil#    |Oil Producers' Best Customers Are in Trouble                                                        |2020-09-17 13:00:00|www.wsj.com                   |
17303249|oil#    |Dakota Access Oil Pipe Likely Safe From Shutdown Through 2020                                       |2020-09-17 13:00:00|finance.yahoo.com             |
17303084|xrpusd  |Ripple XRP Price is at Risk Under the $0.2600 Level                                                 |2020-09-17 12:59:00|www.investingcube.com         |
17303122|xrpusd  |Morning Brief 9.17.20: Ripple, PhonePe join African financial inclusion push                        |2020-09-17 12:51:00|www.paymentssource.com        |
17303094|usdcad  |USD/CAD pulls away from multi-week highs, holds above 1.3200                                        |2020-09-17 12:33:00|www.fxstreet.com              |
17303147|jap225# |Tencent-backed Kuaishou prepares for $5bn Hong Kong IPO                                             |2020-09-17 12:26:00|asia.nikkei.com               |
17303093|usdjpy  |USDJPY Selling Continues  Action Forex                                                              |2020-09-17 12:26:00|www.actionforex.com           |
17303074|btcusd  |BTCUSD Pressure Building  Action Forex                                                              |2020-09-17 12:24:00|www.actionforex.com           |
17303087|us100#  |NOTICE OF ISSUE AND LISTING ON THE STOCK EXCHANGE OF HONG KONG LIMITED US$100.0 MILLION 4.25% SENIOR|2020-09-17 12:12:43|www.marketscreener.com        |
17303104|german30|A Peek Into The Markets: US Stock Futures Tumble Ahead Of Initial Jobless Claims Data               |2020-09-17 12:04:41|www.benzinga.com              |
17302998|euraud  |AUD/USD Analysis: Bears Likely To Prevail  Action Forex                                             |2020-09-17 12:02:00|www.actionforex.com           |
17303107|eurusd  |EURUSD Underlying Cloud Support Holds on Daily                                                      |2020-09-17 12:00:00|www.fxstreet.com              |
17302964|btcusd  |BTC/USD Forex Signal: Very Weakly Bullish                                                           |2020-09-17 11:51:32|www.dailyforex.com            |
17303021|oil#    |Russian finance ministry proposes oil tax overhaul - S&P Global                                     |2020-09-17 11:34:00|www.spglobal.com              |
17303026|oil#    |North Sea Oil and Gas Upstream Market Report 2020-2025 Featuring Equinor ASA, Exxon Mobil Corporatio|2020-09-17 11:33:00|www.globenewswire.com         |
17303105|euraud  |AUD/USD analysis: Bears likely to prevail                                                           |2020-09-17 11:33:00|www.fxstreet.com              |
17303141|oil#    |Africa Energy flags another S Africa offshore oil find                                              |2020-09-17 11:24:28|www.argusmedia.com            |
